Route_name,Route_link
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
Bangalore to Kannur (Kerala),https://www.redbus.in/bus-tickets/bangalore-to-kannur
Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
Kannur (Kerala) to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
Kozhikode to Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva
Kalpetta (kerala) to Kozhikode,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode
